TIME_PERIOD,OBS_VALUE,INDICADOR,ENTIDAD
2000-01-01,0.075,Grado promedio de escolaridad 15 años o más,Estados Unidos Mexicanos
2005-01-01,0.081,Grado promedio de escolaridad 15 años o más,Estados Unidos Mexicanos
2010-01-01,0.0863,Grado promedio de escolaridad 15 años o más,Estados Unidos Mexicanos
2015-01-01,0.0916184342150625,Grado promedio de escolaridad 15 años o más,Estados Unidos Mexicanos
2020-01-01,0.0973805046766345,Grado promedio de escolaridad 15 años o más,Estados Unidos Mexicanos
1970-01-01,0.2581,Porcentaje de analfabetas total,Estados Unidos Mexicanos
1990-01-01,0.1242,Porcentaje de analfabetas total,Estados Unidos Mexicanos
1995-01-01,0.106,Porcentaje de analfabetas total,Estados Unidos Mexicanos
2000-01-01,0.0946,Porcentaje de analfabetas total,Estados Unidos Mexicanos
2005-01-01,0.08349999999999999,Porcentaje de analfabetas total,Estados Unidos Mexicanos
2010-01-01,0.0688,Porcentaje de analfabetas total,Estados Unidos Mexicanos
2015-01-01,0.0547805307647182,Porcentaje de analfabetas total,Estados Unidos Mexicanos
2005-01-01,0.05860198001638296,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2006-01-01,0.05464627017660897,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2007-01-01,0.053376616405419505,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2008-01-01,0.05135556611797397,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2009-01-01,0.05699314020183029,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2010-01-01,0.0531060584224164,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2011-01-01,0.05261723037966507,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2012-01-01,0.05741066188099904,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2013-01-01,0.0574710807805026,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2014-01-01,0.057185229884866136,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2015-01-01,0.05725991900864037,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2016-01-01,0.0638239741471446,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2017-01-01,0.062022369169232296,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2018-01-01,0.07076296110589969,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2019-01-01,0.08949092381724753,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2020-01-01,0.09616115425375195,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2021-01-01,0.10931370821076232,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2022-01-01,0.14754908152127577,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2023-01-01,0.15984273901133417,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2024-01-01,0.17794295061952786,Hasta 1 salario mínimo,Estados Unidos Mexicanos
2005-01-01,0.09228201722376182,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2006-01-01,0.08568829109112709,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2007-01-01,0.08679673332042911,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2008-01-01,0.08665269146505246,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2009-01-01,0.0977782149661795,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2010-01-01,0.09349631417339922,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2011-01-01,0.09378022447157842,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2012-01-01,0.0996418903349149,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2013-01-01,0.1038984395264166,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2014-01-01,0.10406403569246543,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2015-01-01,0.10405424496274852,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2016-01-01,0.11206102523916575,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2017-01-01,0.11551146936813178,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2018-01-01,0.12484838997408279,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2019-01-01,0.14426554980402326,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2020-01-01,0.14513703384844426,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2021-01-01,0.15516481919504452,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2022-01-01,0.15140228162224229,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2023-01-01,0.1592296881972438,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2024-01-01,0.14908289294848642,Más de 1 hasta 2 salarios mínimos,Estados Unidos Mexicanos
2005-01-01,0.07921810584018413,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2006-01-01,0.09120418845835274,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2007-01-01,0.09037951572923407,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2008-01-01,0.1001960903122799,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2009-01-01,0.08675298354533942,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2010-01-01,0.08550198956638667,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2011-01-01,0.08905964549130044,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2012-01-01,0.09324730792398106,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2013-01-01,0.08881938973408635,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2014-01-01,0.09655314017243437,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2015-01-01,0.08768523132689875,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2016-01-01,0.08919693141332556,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2017-01-01,0.09031966540044244,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2018-01-01,0.08150896668494353,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2019-01-01,0.08296259949882803,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2020-01-01,0.0647715104047996,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2021-01-01,0.058257619009135043,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2022-01-01,0.0473029612957999,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2023-01-01,0.04201233189728153,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2024-01-01,0.038126032305737655,Más de 2 hasta 3 salarios mínimos,Estados Unidos Mexicanos
2005-01-01,0.07485546571452797,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2006-01-01,0.07315771491053538,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2007-01-01,0.07797379018786407,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2008-01-01,0.07288683720119661,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2009-01-01,0.07543310994212199,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2010-01-01,0.06872200165185792,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2011-01-01,0.06805946788212398,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2012-01-01,0.06457974519385669,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2013-01-01,0.06817166868717282,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2014-01-01,0.06370539699202765,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2015-01-01,0.0607405515326179,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2016-01-01,0.054394937561027645,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2017-01-01,0.05487643026770901,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2018-01-01,0.05699022239511087,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2019-01-01,0.03872361081335428,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2020-01-01,0.02814495207824382,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2021-01-01,0.027506192485369722,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2022-01-01,0.01881753653069598,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2023-01-01,0.01625469281101602,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2024-01-01,0.012223230804850736,Más de 3 hasta 5 salarios mínimos,Estados Unidos Mexicanos
2005-01-01,0.042975468711137,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2006-01-01,0.048125655629272984,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2007-01-01,0.04902235049657677,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2008-01-01,0.04904676379589637,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2009-01-01,0.04337190883181172,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2010-01-01,0.035086010929053196,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2011-01-01,0.03518897164162207,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2012-01-01,0.03429410251186484,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2013-01-01,0.032173385564009456,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2014-01-01,0.029385428007403968,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2015-01-01,0.02680606914180073,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2016-01-01,0.02534934932846777,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2017-01-01,0.022038720636371616,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2018-01-01,0.01988966667934817,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2019-01-01,0.015438334369989853,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2020-01-01,0.011628343313069132,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2021-01-01,0.009850605992869492,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2022-01-01,0.006788851532905576,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2023-01-01,0.0058885767349195995,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2024-01-01,0.005407287049257311,Más de 5 salarios mínimos,Estados Unidos Mexicanos
2010-01-01,0.193,Instrucción media superior 15 años o más,Estados Unidos Mexicanos
2015-01-01,0.21669587,Instrucción media superior 15 años o más,Estados Unidos Mexicanos
2020-01-01,0.23957896673985998,Instrucción media superior 15 años o más,Estados Unidos Mexicanos
2010-01-01,0.165,Instrucción superior 15 años o más,Estados Unidos Mexicanos
2015-01-01,0.18630381,Instrucción superior 15 años o más,Estados Unidos Mexicanos
2020-01-01,0.215852248638655,Instrucción superior 15 años o más,Estados Unidos Mexicanos
2015-01-01,0.058277284,Sin escolaridad 15 años o más,Estados Unidos Mexicanos
2020-01-01,0.0492750285326371,Sin escolaridad 15 años o más,Estados Unidos Mexicanos
2015-01-01,0.53463372,Escolaridad básica 15 años o más,Estados Unidos Mexicanos
2020-01-01,0.493360891102246,Escolaridad básica 15 años o más,Estados Unidos Mexicanos
2000-01-01,0.08,Grado promedio de escolaridad 15 años o más,Aguascalientes
2005-01-01,0.087,Grado promedio de escolaridad 15 años o más,Aguascalientes
2010-01-01,0.09230000000000001,Grado promedio de escolaridad 15 años o más,Aguascalientes
2015-01-01,0.09725974723044359,Grado promedio de escolaridad 15 años o más,Aguascalientes
2020-01-01,0.103491343202918,Grado promedio de escolaridad 15 años o más,Aguascalientes
1910-01-01,0.643,Porcentaje de analfabetas total,Aguascalientes
1921-01-01,0.5379999999999999,Porcentaje de analfabetas total,Aguascalientes
1930-01-01,0.561,Porcentaje de analfabetas total,Aguascalientes
1940-01-01,0.39799999999999996,Porcentaje de analfabetas total,Aguascalientes
1950-01-01,0.31,Porcentaje de analfabetas total,Aguascalientes
1960-01-01,0.225,Porcentaje de analfabetas total,Aguascalientes
1970-01-01,0.166,Porcentaje de analfabetas total,Aguascalientes
1980-01-01,0.109,Porcentaje de analfabetas total,Aguascalientes
1990-01-01,0.071,Porcentaje de analfabetas total,Aguascalientes
1995-01-01,0.055999999999999994,Porcentaje de analfabetas total,Aguascalientes
2000-01-01,0.048,Porcentaje de analfabetas total,Aguascalientes
2005-01-01,0.042,Porcentaje de analfabetas total,Aguascalientes
2010-01-01,0.0326,Porcentaje de analfabetas total,Aguascalientes
2015-01-01,0.025915685381562602,Porcentaje de analfabetas total,Aguascalientes
2005-01-01,0.028906079878657728,Hasta 1 salario mínimo,Aguascalientes
2006-01-01,0.028570764846782854,Hasta 1 salario mínimo,Aguascalientes
2007-01-01,0.027998687836488283,Hasta 1 salario mínimo,Aguascalientes
2008-01-01,0.02408847811559053,Hasta 1 salario mínimo,Aguascalientes
2009-01-01,0.029402130247715447,Hasta 1 salario mínimo,Aguascalientes
2010-01-01,0.028457269054072757,Hasta 1 salario mínimo,Aguascalientes
2011-01-01,0.025258524079406174,Hasta 1 salario mínimo,Aguascalientes
